Date,NTPC.NS,ONGC.NS,POWERGRID.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATAMTRDVR.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
2019-12-11,86.72647094726562,94.44046020507812,77.06499481201172,294.42120361328125,408.2540588378906,160.8010711669922,65.11090850830078,16.31527328491211,1869.77685546875,235.11264038085938
2019-12-12,87.83934783935547,92.89105987548828,78.33704376220703,302.93951416015625,412.3859558105469,172.27975463867188,69.81474304199219,16.84429359436035,1850.546875,234.5249786376953
2019-12-13,88.76034545898438,93.333740234375,78.73986053466797,313.01080322265625,417.2303466796875,175.60906982421875,72.14189910888672,17.234527587890625,1896.65283203125,238.83450317382812
2019-12-16,88.22308349609375,92.6697006225586,79.26988983154297,312.3519287109375,413.33587646484375,173.869873046875,72.0428695678711,16.93682289123535,1947.473876953125,238.14886474609375
2019-12-17,88.68358612060547,92.44834899902344,79.73629760742188,313.3402404785156,407.5416564941406,179.0874481201172,74.76614379882812,17.67705535888672,1982.4544677734375,239.7159881591797
2019-12-18,87.6091079711914,92.30078887939453,79.3758773803711,307.7398376464844,417.7052917480469,173.72080993652344,72.14189910888672,17.892284393310547,1985.018310546875,243.19296264648438
2019-12-19,87.5323486328125,92.74348449707031,79.03667449951172,308.86932373046875,411.8635559082031,178.0439453125,73.92440795898438,17.972745895385742,2041.151123046875,244.07444763183594
2019-12-20,88.03121948242188,92.33769226074219,78.90945434570312,317.9994201660156,408.7289733886719,174.86370849609375,71.89433288574219,18.546024322509766,2035.5189208984375,246.6209716796875
2019-12-23,87.95446014404297,91.9687728881836,78.78226470947266,312.8695983886719,406.9241943359375,174.96310424804688,72.78558349609375,18.592288970947266,2043.577392578125,248.6288299560547
2019-12-24,88.41497039794922,92.96482849121094,79.35469055175781,311.9754638671875,408.2540588378906,174.41647338867188,72.88460540771484,18.626482009887695,2028.8350830078125,247.06170654296875
2019-12-26,89.33595275878906,94.44046020507812,78.37944793701172,310.4694519042969,400.987548828125,173.5220489501953,72.0923843383789,18.8236083984375,2016.334716796875,245.15182495117188
